id,employe_nom,employe_email,manager_nom,type,date_debut,date_fin,nombre_jours,etat,raison,created_at
10,"Employe Demo",employe.demo@hrmanager.com,"Manager Test",maladie,2026-04-27,2026-04-30,4,valide_manager,"Arrêt maladie","2026-04-29 11:45:10"
5,"Employe Demo",employe.demo@hrmanager.com,"Manager Test",conge_annuel,2026-05-29,2026-06-05,8,soumis,"Vacances d'été","2026-04-29 11:44:38"
6,"Employe Demo",employe.demo@hrmanager.com,"Manager Test",maladie,2026-04-27,2026-04-30,4,valide_manager,"Arrêt maladie","2026-04-29 11:44:38"
7,"Employe Demo",employe.demo@hrmanager.com,"Manager Test",exceptionnel,2026-05-09,2026-05-11,3,refuse_manager,"Événement familial","2026-04-29 11:44:38"
2,"Employe Demo",employe.demo@hrmanager.com,"Manager Test",conge_annuel,2026-05-29,2026-06-05,8,soumis,"Vacances d'été","2026-04-29 11:42:57"
3,"Employe Demo",employe.demo@hrmanager.com,"Manager Test",maladie,2026-04-27,2026-04-30,4,valide_manager,"Arrêt maladie","2026-04-29 11:42:57"
31,"Employe Demo",employe.demo@hrmanager.com,"Manager Test",conge_annuel,2026-03-01,2026-03-05,5,approuve,"Vacances d'hiver","2026-01-29 12:09:26"
26,"Employe Demo",employe.demo@hrmanager.com,"Manager Test",conge_annuel,2026-03-01,2026-03-05,5,approuve,"Vacances d'hiver","2026-01-29 12:00:45"
20,"Employe Demo",employe.demo@hrmanager.com,"Manager Test",conge_annuel,2026-03-01,2026-03-05,5,approuve,"Vacances d'hiver","2026-01-29 11:47:01"
16,"Employe Demo",employe.demo@hrmanager.com,"Manager Test",conge_annuel,2026-03-01,2026-03-05,5,approuve,"Vacances d'hiver","2026-01-29 11:46:41"
12,"Employe Demo",employe.demo@hrmanager.com,"Manager Test",conge_annuel,2026-03-01,2026-03-05,5,approuve,"Vacances d'hiver","2026-01-29 11:46:10"
8,"Employe Demo",employe.demo@hrmanager.com,"Manager Test",conge_annuel,2026-03-01,2026-03-05,5,approuve,"Vacances d'hiver","2026-01-29 11:45:10"
4,"Employe Demo",employe.demo@hrmanager.com,"Manager Test",conge_annuel,2026-03-01,2026-03-05,5,approuve,"Vacances d'hiver","2026-01-29 11:44:38"
1,"Employe Demo",employe.demo@hrmanager.com,"Manager Test",conge_annuel,2026-03-01,2026-03-05,5,approuve,"Vacances d'hiver","2026-01-29 11:42:57"
